new entry "SHA_Nightsong"
type "Character"
using "Elf_Melee"
data "Strength" "21"
data "Dexterity" "10"
data "Constitution" "18"
data "Intelligence" "11"
data "Wisdom" "13"
data "Charisma" "19"
data "Vitality" "125"
data "Flags" "Floating"
data "DefaultBoosts" "AC(3);RollBonus(Attack,3);IgnoreFallDamage(); BlockRegainHP(Undead;Construct)"
data "PersonalStatusImmunities" "SHA_SHADOW_FEAR;BURNING_HOLY;SG_Disease"
data "SpellCastingAbility" "Charisma"
data "Passives" "AttackOfOpportunity;DarknessRules;ExtraAttack;"
data "NecroticResistance" "Resistant"
data "RadiantResistance" "Resistant"
data "Progressions" "8726b2c4-edc0-4905-b82f-60a4baba0733"
data "DarkvisionRange" "60"
data "ArmorType" "Plate"
data "DifficultyStatuses" "STATUS_EASY: HEALTHBOOST_ALLIEDNPC_EASYMODE"
